,Year,Continent,counts
0,1900,Africa,1
1,1900,Americas,4
2,1900,Asia,3
3,1901,Africa,1
4,1901,Asia,1
5,1901,Europe,1
6,1902,Americas,3
7,1902,Asia,3
8,1902,Europe,1
9,1903,Africa,2
10,1903,Americas,4
11,1903,Asia,1
12,1903,Europe,1
13,1904,Americas,1
14,1904,Asia,2
15,1904,Europe,2
16,1905,Americas,1
17,1905,Asia,2
18,1905,Europe,2
19,1906,Africa,1
20,1906,Americas,3
21,1906,Asia,2
22,1906,Europe,4
23,1907,Americas,2
24,1907,Asia,2
25,1908,Americas,2
26,1908,Asia,1
27,1908,Europe,2
28,1909,Africa,1
29,1909,Americas,4
30,1909,Asia,3
31,1909,Europe,1
32,1910,Africa,2
33,1910,Americas,4
34,1910,Asia,4
35,1911,Americas,3
36,1911,Asia,4
37,1912,Americas,1
38,1912,Asia,3
39,1912,Europe,1
40,1913,Africa,1
41,1913,Americas,3
42,1913,Asia,1
43,1913,Europe,3
44,1914,Americas,3
45,1914,Asia,2
46,1914,Europe,1
47,1914,Oceania,1
48,1915,Americas,4
49,1915,Asia,2
50,1915,Europe,2
51,1916,Americas,1
52,1916,Asia,3
53,1916,Europe,1
54,1917,Americas,4
55,1917,Asia,3
56,1917,Europe,2
57,1918,Americas,7
58,1918,Asia,2
59,1918,Europe,1
60,1918,Oceania,1
61,1919,Americas,3
62,1919,Asia,2
63,1920,Africa,1
64,1920,Americas,3
65,1920,Asia,4
66,1920,Europe,3
67,1921,Americas,1
68,1921,Asia,1
69,1921,Europe,3
70,1922,Americas,4
71,1922,Asia,4
72,1922,Europe,2
73,1923,Africa,1
74,1923,Americas,3
75,1923,Asia,4
76,1923,Europe,4
77,1924,Americas,1
78,1924,Asia,3
79,1924,Europe,1
80,1925,Americas,3
81,1925,Asia,2
82,1925,Europe,1
83,1925,Oceania,1
84,1926,Africa,1
85,1926,Americas,2
86,1926,Asia,4
87,1926,Europe,2
88,1927,Africa,1
89,1927,Americas,3
90,1927,Asia,2
91,1927,Europe,1
92,1928,Americas,4
93,1928,Asia,3
94,1928,Europe,3
95,1929,Americas,3
96,1929,Asia,1
97,1929,Europe,3
98,1929,Oceania,1
99,1930,Africa,1
100,1930,Americas,4
101,1930,Asia,2
102,1930,Europe,6
103,1931,Americas,4
104,1931,Asia,4
105,1931,Europe,3
106,1931,Oceania,2
107,1932,Americas,3
108,1932,Asia,2
109,1932,Europe,4
110,1933,Americas,5
111,1933,Asia,2
112,1933,Europe,2
113,1934,Americas,2
114,1934,Asia,4
115,1934,Europe,3
116,1934,Oceania,1
117,1935,Africa,2
118,1935,Americas,2
119,1935,Asia,3
120,1935,Europe,2
121,1936,Americas,5
122,1936,Asia,3
123,1936,Europe,3
124,1937,Africa,1
125,1937,Americas,4
126,1937,Asia,4
127,1937,Europe,1
128,1937,Oceania,1
129,1938,Africa,1
130,1938,Americas,5
131,1938,Asia,4
132,1938,Europe,1
133,1938,Oceania,2
134,1939,Africa,1
135,1939,Americas,3
136,1939,Asia,3
137,1939,Europe,3
138,1939,Oceania,2
139,1940,Africa,2
140,1940,Americas,5
141,1940,Asia,2
142,1940,Europe,3
143,1940,Oceania,2
144,1941,Africa,1
145,1941,Americas,3
146,1941,Asia,3
147,1941,Europe,1
148,1941,Oceania,1
149,1942,Africa,1
150,1942,Americas,3
151,1942,Asia,5
152,1942,Europe,3
153,1942,Oceania,2
154,1943,Africa,1
155,1943,Americas,4
156,1943,Asia,5
157,1943,Europe,2
158,1943,Oceania,1
159,1944,Africa,1
160,1944,Americas,5
161,1944,Asia,3
162,1944,Europe,2
163,1944,Oceania,1
164,1945,Americas,1
165,1945,Asia,3
166,1945,Europe,3
167,1946,Africa,2
168,1946,Americas,4
169,1946,Asia,2
170,1946,Europe,4
171,1946,Oceania,2
172,1947,Africa,1
173,1947,Americas,5
174,1947,Asia,5
175,1947,Europe,3
176,1948,Africa,2
177,1948,Americas,3
178,1948,Asia,6
179,1948,Europe,5
180,1948,Oceania,1
181,1949,Americas,5
182,1949,Asia,4
183,1949,Europe,4
184,1950,Africa,1
185,1950,Americas,5
186,1950,Asia,5
187,1950,Europe,2
188,1951,Africa,2
189,1951,Americas,6
190,1951,Asia,4
191,1951,Europe,3
192,1951,Oceania,3
193,1952,Africa,3
194,1952,Americas,4
195,1952,Asia,3
196,1952,Europe,6
197,1952,Oceania,1
198,1953,Americas,5
199,1953,Asia,6
200,1953,Europe,5
201,1953,Oceania,2
202,1954,Africa,2
203,1954,Americas,3
204,1954,Asia,7
205,1954,Europe,3
206,1955,Africa,1
207,1955,Americas,6
208,1955,Asia,5
209,1955,Europe,3
210,1955,Oceania,2
211,1956,Africa,1
212,1956,Americas,5
213,1956,Asia,5
214,1956,Europe,4
215,1956,Oceania,1
216,1957,Africa,1
217,1957,Americas,5
218,1957,Asia,4
219,1957,Europe,4
220,1957,Oceania,1
221,1958,Africa,1
222,1958,Americas,6
223,1958,Asia,6
224,1958,Europe,3
225,1958,Oceania,1
226,1959,Africa,3
227,1959,Americas,4
228,1959,Asia,4
229,1959,Europe,1
230,1959,Oceania,1
231,1960,Africa,4
232,1960,Americas,4
233,1960,Asia,5
234,1960,Europe,2
235,1960,Oceania,2
236,1961,Africa,2
237,1961,Americas,3
238,1961,Asia,5
239,1961,Europe,4
240,1961,Oceania,1
241,1962,Africa,1
242,1962,Americas,7
243,1962,Asia,4
244,1962,Europe,5
245,1962,Oceania,1
246,1963,Africa,2
247,1963,Americas,8
248,1963,Asia,8
249,1963,Europe,4
250,1964,Africa,5
251,1964,Americas,7
252,1964,Asia,8
253,1964,Europe,4
254,1964,Oceania,2
255,1965,Africa,5
256,1965,Americas,9
257,1965,Asia,10
258,1965,Europe,6
259,1965,Oceania,1
260,1966,Africa,5
261,1966,Americas,7
262,1966,Asia,8
263,1966,Europe,6
264,1966,Oceania,1
265,1967,Africa,5
266,1967,Americas,6
267,1967,Asia,8
268,1967,Europe,6
269,1967,Oceania,3
270,1968,Africa,4
271,1968,Americas,8
272,1968,Asia,9
273,1968,Europe,6
274,1968,Oceania,3
275,1969,Africa,7
276,1969,Americas,8
277,1969,Asia,8
278,1969,Europe,4
279,1969,Oceania,1
280,1970,Africa,5
281,1970,Americas,8
282,1970,Asia,9
283,1970,Europe,5
284,1970,Oceania,2
285,1971,Africa,3
286,1971,Americas,10
287,1971,Asia,8
288,1971,Europe,7
289,1971,Oceania,4
290,1972,Africa,3
291,1972,Americas,9
292,1972,Asia,8
293,1972,Europe,6
294,1972,Oceania,1
295,1973,Africa,4
296,1973,Americas,9
297,1973,Asia,7
298,1973,Europe,6
299,1973,Oceania,3
300,1974,Africa,4
301,1974,Americas,9
302,1974,Asia,10
303,1974,Europe,5
304,1974,Oceania,3
305,1975,Africa,4
306,1975,Americas,8
307,1975,Asia,10
308,1975,Europe,5
309,1975,Oceania,5
310,1976,Africa,4
311,1976,Americas,9
312,1976,Asia,9
313,1976,Europe,6
314,1976,Oceania,4
315,1977,Africa,8
316,1977,Americas,10
317,1977,Asia,10
318,1977,Europe,5
319,1977,Oceania,6
320,1978,Africa,9
321,1978,Americas,8
322,1978,Asia,13
323,1978,Europe,5
324,1978,Oceania,3
325,1979,Africa,7
326,1979,Americas,9
327,1979,Asia,12
328,1979,Europe,7
329,1979,Oceania,4
330,1980,Africa,5
331,1980,Americas,10
332,1980,Asia,13
333,1980,Europe,7
334,1980,Oceania,5
335,1981,Africa,4
336,1981,Americas,8
337,1981,Asia,12
338,1981,Europe,8
339,1981,Oceania,4
340,1982,Africa,7
341,1982,Americas,10
342,1982,Asia,12
343,1982,Europe,10
344,1982,Oceania,1
345,1983,Africa,8
346,1983,Americas,11
347,1983,Asia,12
348,1983,Europe,10
349,1983,Oceania,6
350,1984,Africa,8
351,1984,Americas,9
352,1984,Asia,12
353,1984,Europe,10
354,1984,Oceania,2
355,1985,Africa,9
356,1985,Americas,11
357,1985,Asia,13
358,1985,Europe,10
359,1985,Oceania,4
360,1986,Africa,9
361,1986,Americas,11
362,1986,Asia,12
363,1986,Europe,7
364,1986,Oceania,4
365,1987,Africa,9
366,1987,Americas,11
367,1987,Asia,14
368,1987,Europe,9
369,1987,Oceania,5
370,1988,Africa,11
371,1988,Americas,11
372,1988,Asia,12
373,1988,Europe,7
374,1988,Oceania,5
375,1989,Africa,9
376,1989,Americas,11
377,1989,Asia,14
378,1989,Europe,9
379,1989,Oceania,5
380,1990,Africa,9
381,1990,Americas,11
382,1990,Asia,13
383,1990,Europe,10
384,1990,Oceania,8
385,1991,Africa,10
386,1991,Americas,14
387,1991,Asia,12
388,1991,Europe,11
389,1991,Oceania,6
390,1992,Africa,10
391,1992,Americas,11
392,1992,Asia,14
393,1992,Europe,10
394,1992,Oceania,5
395,1993,Africa,10
396,1993,Americas,13
397,1993,Asia,12
398,1993,Europe,9
399,1993,Oceania,4
400,1994,Africa,9
401,1994,Americas,11
402,1994,Asia,12
403,1994,Europe,9
404,1994,Oceania,8
405,1995,Africa,12
406,1995,Americas,13
407,1995,Asia,14
408,1995,Europe,10
409,1995,Oceania,4
410,1996,Africa,8
411,1996,Americas,11
412,1996,Asia,11
413,1996,Europe,11
414,1996,Oceania,6
415,1997,Africa,11
416,1997,Americas,12
417,1997,Asia,12
418,1997,Europe,11
419,1997,Oceania,8
420,1998,Africa,11
421,1998,Americas,12
422,1998,Asia,13
423,1998,Europe,10
424,1998,Oceania,6
425,1999,Africa,10
426,1999,Americas,12
427,1999,Asia,11
428,1999,Europe,11
429,1999,Oceania,7
430,2000,Africa,11
431,2000,Americas,13
432,2000,Asia,13
433,2000,Europe,11
434,2000,Oceania,8
435,2001,Africa,11
436,2001,Americas,12
437,2001,Asia,12
438,2001,Europe,11
439,2001,Oceania,7
440,2002,Africa,12
441,2002,Americas,14
442,2002,Asia,12
443,2002,Europe,11
444,2002,Oceania,8
445,2003,Africa,10
446,2003,Americas,12
447,2003,Asia,11
448,2003,Europe,9
449,2003,Oceania,7
450,2004,Africa,10
451,2004,Americas,10
452,2004,Asia,12
453,2004,Europe,9
454,2004,Oceania,5
455,2005,Africa,9
456,2005,Americas,12
457,2005,Asia,12
458,2005,Europe,8
459,2005,Oceania,6
460,2006,Africa,11
461,2006,Americas,12
462,2006,Asia,13
463,2006,Europe,10
464,2006,Oceania,6
465,2007,Africa,12
466,2007,Americas,12
467,2007,Asia,12
468,2007,Europe,9
469,2007,Oceania,4
470,2008,Africa,11
471,2008,Americas,13
472,2008,Asia,13
473,2008,Europe,7
474,2008,Oceania,4
475,2009,Africa,11
476,2009,Americas,12
477,2009,Asia,11
478,2009,Europe,8
479,2009,Oceania,9
480,2010,Africa,10
481,2010,Americas,12
482,2010,Asia,12
483,2010,Europe,10
484,2010,Oceania,5
485,2011,Africa,7
486,2011,Americas,12
487,2011,Asia,11
488,2011,Europe,8
489,2011,Oceania,8
490,2012,Africa,10
491,2012,Americas,12
492,2012,Asia,12
493,2012,Europe,9
494,2012,Oceania,4
495,2013,Africa,8
496,2013,Americas,12
497,2013,Asia,12
498,2013,Europe,9
499,2013,Oceania,7
500,2014,Africa,11
501,2014,Americas,11
502,2014,Asia,11
503,2014,Europe,7
504,2014,Oceania,5
505,2015,Africa,11
506,2015,Americas,12
507,2015,Asia,12
508,2015,Europe,7
509,2015,Oceania,4
510,2016,Africa,10
511,2016,Americas,10
512,2016,Asia,11
513,2016,Europe,8
514,2016,Oceania,7
515,2017,Africa,10
516,2017,Americas,10
517,2017,Asia,11
518,2017,Europe,9
519,2017,Oceania,4
520,2018,Africa,9
521,2018,Americas,12
522,2018,Asia,13
523,2018,Europe,9
524,2018,Oceania,8
525,2019,Africa,11
526,2019,Americas,11
527,2019,Asia,11
528,2019,Europe,9
529,2019,Oceania,7
530,2020,Africa,9
531,2020,Americas,11
532,2020,Asia,11
533,2020,Europe,8
534,2020,Oceania,4
535,2021,Africa,3
536,2021,Americas,3
537,2021,Asia,9
538,2021,Europe,3
539,2021,Oceania,2
